Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83781;30/04/2015;0000;14;2.581111;5.8;94.3;78.6903;78.6903;169.2;8.266667;;108.1;;926.363333;25.966667;20.875333;17.783333;77.35;;
83781;31/05/2015;0000;14;2.43871;5.6;86.3;61.493363;60.931283;116.1;8.043011;;50.7;;928.135484;22.867742;18.710667;15.612903;78.629032;;
83781;30/06/2015;0000;14;2.608052;5.8;94;54.074608;46.029832;162.1;6.108333;;20.3;;930.437079;23.22;18.182;14.073333;73.725;;
83781;31/07/2015;0000;14;2.202151;5.5;98.4;55.852275;55.852275;134.4;7.096774;;65.1;;928.943011;22.832258;17.93871;14.209677;74.491935;;
83781;31/08/2015;0000;14;2.024731;8.3;137.8;73.185265;56.533755;193.9;3.935484;;31.6;;928.884946;26.316129;19.936774;14.887097;62.5;;
83781;30/09/2015;0000;14;2.312222;6.1;130.5;82.994954;82.994954;145.2;6.911111;;201.7;;925.644444;26.673333;21.077333;16.62;70.066667;;
83781;31/10/2015;0000;14;2.891398;6.6;127.2;99.748383;99.463211;125.1;8.225806;;92.1;;926.25914;27.832258;21.888276;17.819355;72.322581;;
83781;30/11/2015;0000;32;2.527778;8.3;73.3;102.0783;102.0783;93.9;9.333333;;247.2;;923.68;27.04;22.194286;18.85;80.3;;
83781;31/12/2015;0000;32;2.637634;6.6;116;122.128308;122.128308;126.9;8.806452;;318.1;;924.765591;28.96129;23.635862;19.741935;76.322581;;
83781;31/01/2016;0000;14;2.811538;5.8;110.9;115.753995;115.753995;139.9;8.320513;;175.9;;923.80641;27.929032;22.627143;19.16129;77.129032;;
83781;29/02/2016;0000;5;2.378082;5;123.2;117.418851;117.418851;151.5;8.260274;;275.1;;925.449315;29.817241;24.669286;20.555172;76.077586;;
83781;31/03/2016;0000;32;2.552688;5.8;104.5;106.669752;106.669752;179.8;8.462366;;256.6;1014.06129;926.117204;28.548387;23.119333;19.2;77.467742;;
83781;30/04/2016;0000;14;2.153333;5;147.9;102.350931;65.594;234.4;5.133333;;2.4;;926.264444;29.456667;23.728;18.966667;66.333333;;
83781;31/05/2016;0000;18;2.392473;5;85.5;58.102426;58.102426;130.1;7.88172;;105.7;;928.582796;22.887097;18.299355;14.283871;76.362903;;
83781;30/06/2016;0000;18;2.166667;5;65.1;39.393121;39.393121;163.6;6.833333;;206.8;;930.155556;20.94;15.455333;10.98;77.9;;
83781;31/07/2016;0000;14;2.365591;6.6;138.1;54.650219;44.676299;208.3;5;;6.4;;929.003226;23.93871;17.708667;12.554839;64.129032;;
83781;31/08/2016;0000;14;2.453763;5.3;119.3;59.877016;59.877016;164.3;6.688172;;82.4;;927.83871;24.341935;18.20129;13.035484;68.120968;;
83781;30/09/2016;0000;14;2.901111;7.1;104.6;65.009095;51.538728;164.5;7.377778;;22.2;;927.823333;24.693103;18.649286;14.272414;72.325;;
83781;31/10/2016;0000;14;2.771233;5;120.6;86.584989;86.584989;175.4;8.041096;;104.1;;926.163014;26.458065;20.585161;16.174194;77.185484;;
83781;30/11/2016;0000;14;2.992222;5.3;119.6;89.489004;89.489004;150.5;8.244444;;166.8;;924.518889;26.516667;20.788667;16.4;74.95;;
83781;31/12/2016;0000;14;2.841935;10;163.1;119.008814;119.008814;206.6;7.655914;;165.4;;924.019355;29.680645;23.319355;18.270968;68.814516;;
83781;31/01/2017;0000;32;2.145313;4.6;105.8;117.803105;117.803105;118.7;8.984375;;454;;924.667188;28.219355;23.241935;19.093548;81.791667;;
83781;28/02/2017;0000;14;2.345238;5.6;134.2;114.313267;114.313267;217.5;6.583333;;127.3;;924.714286;30.475;24.572143;19.614286;67.544643;;
83781;31/03/2017;0000;14;2.666667;5;113.2;97.696292;97.696292;169.8;8.021505;;160.4;;925.575269;27.341935;22.180645;17.764516;75.41129;;
83781;30/04/2017;0000;14;2.741111;5.8;91.5;71.936711;71.936711;131;8.333333;;143.1;;927.186667;24.896667;20.326;17.036667;78.45;;
83781;31/05/2017;0000;14;2.233333;5;89.4;62.843523;62.843523;136.9;7.72043;;153.4;;927.360215;23.141935;18.810323;15.609677;79.983871;;
83781;30/06/2017;0000;14;2.296667;5.8;97.7;53.468215;53.468215;160.9;6.177778;;102.9;;929.575556;22.793333;17.851333;14.163333;75.508333;;
83781;31/07/2017;0000;14;2.472043;6.1;110.6;47.931036;38.381617;200.5;5.27957;;0.8;1023.47957;933.64086;22.229032;16.613548;12.306452;70.306452;;
83781;31/08/2017;0000;14;2.824731;5;110.4;57.119794;57.119794;152.1;6.387097;;60.5;;928.992473;22.909677;17.690968;13.683871;71.685484;;
83781;30/09/2017;0000;14;2.403333;5;204.8;87.053413;46.112459;263.4;3.622222;;11.1;;929.327778;28.72;21.527333;16.27;58.916667;;
83781;31/10/2017;0000;14;2.526027;5.5;133.4;97.007336;97.007336;157;8.027397;;149.4;;925.538356;27.129032;21.696129;17.387097;74.370968;;
83781;30/11/2017;0000;14;2.876358;5.3;135.2;91.145465;91.145465;171;7.966667;;159.8;;923.74;26.76;21.182667;16.603333;71.658333;;
83781;31/12/2017;0000;14;2.715054;6.3;137.3;115.882821;115.882821;145.5;8.419355;;151.3;;923.170968;27.932258;22.878065;19.393548;76.290323;;
83781;31/01/2018;0000;14;2.256164;5;112.8;115.751873;115.751873;129;8.780822;;244.3;;924.408219;27.993548;23.208;19.529032;78.66129;;
83781;28/02/2018;0000;14;2.527027;5.5;94.1;97.044411;97.044411;147.3;8.405405;;102.2;;924.512162;27.464286;22.561429;18.932143;75.678571;;
83781;31/03/2018;0000;14;2.044086;5;89.8;114.516963;114.516963;171.4;8.053763;;220.5;;923.866667;29.564516;23.864516;20.274194;77.895161;;
83781;30/04/2018;0000;14;2.39;5;103.4;82.576215;70.059997;190.7;7.3;;28;;927.774444;26.876667;21.306667;17.753333;72.683333;;
83781;31/05/2018;0000;14;2.531183;6.6;117.5;66.280858;35.471887;200.9;6.354839;;10.8;;928.574194;25.022581;19.242581;15.241935;71.596774;;
83781;30/06/2018;0000;14;2.163333;4.6;94.8;55.920178;24.374501;114.2;7.566667;;12.7;1018.51;929.271111;23.516667;18.7;14.633333;73.05;;
83781;31/07/2018;0000;14;1.763963;5.65884;;;;181.5;5.174731;;24.2;;929.136559;24.909677;18.653548;14.219355;65.887097;;
